policy,budget,scope,denominator,detected,detection_rate,median_first_witness_rank,unexpected_in_domain_mismatch_count,source
fixture_neighbor_only,16,controlled_low_density_fixture_passing_wrong,16,6.0,0.375,3.0,0,reused_phase1
fixture_neighbor_only,32,controlled_primary_fixture_passing_wrong,37,26.0,0.7027027027027027,1.0,0,reused_phase1
fixture_neighbor_only,32,controlled_low_density_fixture_passing_wrong,16,6.0,0.375,3.0,0,reused_phase1
literal_first_concatenation,1,controlled_primary_fixture_passing_wrong,37,18.0,0.4864864864864865,1.0,0,reused_phase1
literal_first_concatenation,1,controlled_low_density_fixture_passing_wrong,16,8.0,0.5,1.0,0,reused_phase1
literal_first_concatenation,2,controlled_primary_fixture_passing_wrong,37,27.0,0.7297297297297297,1.0,0,reused_phase1
literal_first_concatenation,2,controlled_low_density_fixture_passing_wrong,16,10.0,0.625,1.0,0,reused_phase1
literal_first_concatenation,4,controlled_primary_fixture_passing_wrong,37,30.0,0.8108108108108109,1.0,0,reused_phase1
literal_first_concatenation,4,controlled_low_density_fixture_passing_wrong,16,13.0,0.8125,1.0,0,reused_phase1
literal_first_concatenation,8,controlled_primary_fixture_passing_wrong,37,33.0,0.8918918918918919,1.0,0,reused_phase1
literal_first_concatenation,8,controlled_low_density_fixture_passing_wrong,16,14.0,0.875,1.0,0,reused_phase1
literal_first_concatenation,16,controlled_primary_fixture_passing_wrong,37,34.0,0.918918918918919,1.0,0,reused_phase1
literal_first_concatenation,16,controlled_low_density_fixture_passing_wrong,16,14.0,0.875,1.0,0,reused_phase1
literal_first_concatenation,32,controlled_primary_fixture_passing_wrong,37,34.0,0.918918918918919,1.0,0,reused_phase1
literal_first_concatenation,32,controlled_low_density_fixture_passing_wrong,16,14.0,0.875,1.0,0,reused_phase1
generic_type_boundaries,1,controlled_primary_fixture_passing_wrong,37,15.0,0.40540540540540543,1.0,0,reused_phase1
generic_type_boundaries,1,controlled_low_density_fixture_passing_wrong,16,0.0,0.0,,0,reused_phase1
generic_type_boundaries,2,controlled_primary_fixture_passing_wrong,37,16.0,0.43243243243243246,1.0,0,reused_phase1
generic_type_boundaries,2,controlled_low_density_fixture_passing_wrong,16,0.0,0.0,,0,reused_phase1
generic_type_boundaries,4,controlled_primary_fixture_passing_wrong,37,23.0,0.6216216216216216,1.0,0,reused_phase1
generic_type_boundaries,4,controlled_low_density_fixture_passing_wrong,16,5.0,0.3125,3.0,0,reused_phase1
